2022-02-22 09:43:40,093 DEBUG [main] cmn.LoggerManager (CalendarEx01Main.java:39)     - cal01:495053715
2022-02-22 09:43:40,093 DEBUG [main] cmn.LoggerManager (CalendarEx01Main.java:40)     - cal02:1922154895
2022-02-22 09:44:09,112 DEBUG [main] cmn.LoggerManager (CalendarEx01Main.java:37)     - cal01:java.util.GregorianCalendar[time=1645490649064,areFieldsSet=true,areAllFieldsSet=true,lenient=true,zone=sun.util.calendar.ZoneInfo[id="Asia/Seoul",offset=32400000,dstSavings=0,useDaylight=false,transitions=22,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2022,MONTH=1,WEEK_OF_YEAR=9,WEEK_OF_MONTH=4,DAY_OF_MONTH=22,DAY_OF_YEAR=53,DAY_OF_WEEK=3,DAY_OF_WEEK_IN_MONTH=4,AM_PM=0,HOUR=9,HOUR_OF_DAY=9,MINUTE=44,SECOND=9,MILLISECOND=64,ZONE_OFFSET=32400000,DST_OFFSET=0]
2022-02-22 09:44:09,114 DEBUG [main] cmn.LoggerManager (CalendarEx01Main.java:38)     - cal02:java.util.GregorianCalendar[time=1645490649073,areFieldsSet=true,areAllFieldsSet=true,lenient=true,zone=sun.util.calendar.ZoneInfo[id="Asia/Seoul",offset=32400000,dstSavings=0,useDaylight=false,transitions=22,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2022,MONTH=1,WEEK_OF_YEAR=9,WEEK_OF_MONTH=4,DAY_OF_MONTH=22,DAY_OF_YEAR=53,DAY_OF_WEEK=3,DAY_OF_WEEK_IN_MONTH=4,AM_PM=0,HOUR=9,HOUR_OF_DAY=9,MINUTE=44,SECOND=9,MILLISECOND=73,ZONE_OFFSET=32400000,DST_OFFSET=0]
2022-02-22 09:44:09,114 DEBUG [main] cmn.LoggerManager (CalendarEx01Main.java:39)     - cal01:495053715
2022-02-22 09:44:09,114 DEBUG [main] cmn.LoggerManager (CalendarEx01Main.java:40)     - cal02:1922154895
2022-02-22 09:47:08,940 DEBUG [main] cmn.LoggerManager (CalendarEx01Main.java:37)     - cal01:java.util.GregorianCalendar[time=1645490828888,areFieldsSet=true,areAllFieldsSet=true,lenient=true,zone=sun.util.calendar.ZoneInfo[id="Asia/Seoul",offset=32400000,dstSavings=0,useDaylight=false,transitions=22,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2022,MONTH=1,WEEK_OF_YEAR=9,WEEK_OF_MONTH=4,DAY_OF_MONTH=22,DAY_OF_YEAR=53,DAY_OF_WEEK=3,DAY_OF_WEEK_IN_MONTH=4,AM_PM=0,HOUR=9,HOUR_OF_DAY=9,MINUTE=47,SECOND=8,MILLISECOND=888,ZONE_OFFSET=32400000,DST_OFFSET=0]
2022-02-22 09:47:08,942 DEBUG [main] cmn.LoggerManager (CalendarEx01Main.java:38)     - cal02:java.util.GregorianCalendar[time=1645490828897,areFieldsSet=true,areAllFieldsSet=true,lenient=true,zone=sun.util.calendar.ZoneInfo[id="Asia/Seoul",offset=32400000,dstSavings=0,useDaylight=false,transitions=22,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2022,MONTH=1,WEEK_OF_YEAR=9,WEEK_OF_MONTH=4,DAY_OF_MONTH=22,DAY_OF_YEAR=53,DAY_OF_WEEK=3,DAY_OF_WEEK_IN_MONTH=4,AM_PM=0,HOUR=9,HOUR_OF_DAY=9,MINUTE=47,SECOND=8,MILLISECOND=897,ZONE_OFFSET=32400000,DST_OFFSET=0]
2022-02-22 09:47:08,942 DEBUG [main] cmn.LoggerManager (CalendarEx01Main.java:41)     - cal01:495053715
2022-02-22 09:47:08,942 DEBUG [main] cmn.LoggerManager (CalendarEx01Main.java:42)     - cal02:1922154895
